var_name_Jpn,var_name_Eng
key,key
pref.id,pref.id
sex,sex
pref.E,pref.E
pref.A,pref.A
pref.J,pref.J
人口,pop
受療率_入院_悪性新生物_2017,Treatment_rate_Hospitalization_Malignant_neoplasm_2017
受療率_入院_心疾患_2017,Medical_treatment_rate_hospitalization_heart_dz_2017
受療率_入院_脳血管疾患_2017,Treatment_rate_Hospitalization_Cerebrovascular_dz_2017
受療率_外来_悪性新生物_2017,Treatment_rate_Outpatient_Malignant_neoplasm_2017
受療率_外来_心疾患_2017,Treatment_rate_outpatient_heart_dz_2017
受療率_外来_脳血管疾患_2017,Treatment_rate_Outpatient_Cerebrovascular_dz_2017
病院数_2019,Num_of_hospitals_2019
診療所数_2019,Num_of_clinics_2019
がん治療認定医数_2020,Num_of_certified_cancer_doctors_2020
循環器専門医数_2020,Num_of_cardiologists_2020
内視鏡専門医数_2020,Num_of_endoscopists_2020
75歳未満調整死亡率_悪性新生物_2018,Mortality_Malignant_Neoplasm_2018_Under_75
書籍購入代金_2019,Book_purchase_price_2019
平均寿命_2015,LE_2015
健康寿命_2016,HLE_2016
75歳未満調整死亡率_悪政新生物_2019,Under_75_Adjusted_Mortality_Evil_Neoplasms_2019
年齢調整死亡率_心疾患_2015,mortality_heart_dz_2015
年齢調整死亡率_脳血管疾患_2015,mortality_cerebrovascular_dz_2015
60歳以上人口_2015,pop_over_60_2015
学習率_2016,Learn_rate_2016
読書率_2016,Read_rate_2016
人口・世帯_年少人口割合2020,pop_Young_pop_Ratio_2020
人口・世帯_老年人口割合2020,pop_oldElderly_pop_Ratio_2020
人口・世帯_生産年齢人口割合2020,pop_Working_Age_pop_Ratio_2020
人口・世帯_粗死亡率2020,pop_Rough_Mortality_2020
人口・世帯_共働き世帯割合2020,pop_Double_income_household_ratio_2020
自然環境_年平均気温,Natural_environment_annual_avg_temperature
自然環境_年平均相対湿度,Natural_environment_annual_avg_relative_humidity
自然環境_降水量（年間）,Natural_environment_annual_rain
自然環境_雪日数（年間）,Natural_environment_annual_Num_of_snow_days
経済基盤_県民所得,Economic_pref_income
行政基盤_財政力指数,Admin_base_Financial_strength_index
行政基盤_収支比率,Admin_base_balance_ratio
行政基盤_生活保護費割合（県財政）,Admin_infrastructure_living_protection_cost_ratio_(prefectural_finance)
行政基盤_教育費割合（県財政）,Admin_infrastructure_Edu_cost_ratio_(prefectural_finance)
教育_最終学歴が大学・大学院卒の者の割合,Edu_Ptc_of_university_graduate_students_with_a_final_academic_background
労働_１次産業就業者比率,Labor_primary_industry_emp_ratio
労働_２次産業就業者比率,Labor_secondary_industry_emp_ratio
労働_３次産業就業者比率,Labor_tertiary_industry_emp_ratio
労働_完全失業率,Labor_Unemp_rate
文化・スポーツ_図書館数（人口100万人当たり）,Num_of_libraries
健康・医療_一般診療所数(可住地面積100k㎡当たり),Num_of_general_clinics
文化・スポーツ_スポーツの行動者率,Sports_Participant_Rate
文化・スポーツ_旅行・行楽行動者率,Travel_Rate
居住_持ち家比率,Residence_owner_ratio
居住_一戸建住宅比率,Residence_house_ratio
居住_上水道給水人口比率,Residence_water_supply_pop_ratio
居住_下水道普及比率,Residence_sewerage_ratio
文化・スポーツ_ボランティア活動行動者率,Volunteer_Activity_Participant_Rate
居住_都市公園面積（人口１人当たり）,Residential_city_park_area_(per_pop)
居住_都市公園数(可住地面積100k㎡当たり),Residence_Num_of_city_parks
健康・医療_一般病院数(可住地面積100k㎡当たり),HM_Num_of_general_hospitals
居住_主要道路舗装率,Residence_road_pavement_rate
居住_市町村舗装率,Residence_simachi_pavement_rate
健康・医療_一般歯科診療所数（人口10万人当たり）,HM_Num_of_general_dental_clinics_per_100k_pop
健康・医療_医療施設に従事する医師数（人口10万人当たり）,HM_Num_of_doctors_engaged_in_medical_facilities_per_100k_pop
健康・医療_保健師数（人口10万人当たり）,HM_Num_of_public_health_nurses_per_100k_pop
安全_交通事故発生件数（人口10万人当たり）,Safety_Num_of_traffic_accidents_per_100k_pop
家計_実収入（一世帯当たり１か月）,Household_actual_income
家計_消費支出（一世帯当たり１か月）,Household_consumption_expenditure
家計_教育費割合（対消費支出）,Household_Edu_cost_ratio
家計_教養娯楽費割合（対消費支出）,Household_Liberal_Arts_and_Entertainment_Expenditure_Ratio
家計_貯蓄現在高,Household_Savings
家計_スマートフォン所有数量（千世帯当たり）,Household_Smartphone_ownership_quantity
家計_パソコン所有数量（千世帯当たり）,Household_PC_ownership_quantity
家計_自動車所有数量（千世帯当たり）,Household_Car_ownership_quantity
家計_タブレット端末所有数量（千世帯当たり）,Household_Tablet_terminal_Ownership_quantity
人口・世帯_高齢単身者世帯の割合,pop_Household_Ratio_of_elderly_single_person_households
スポーツ総行動率,Sports_Activity_rate
スポーツ総行動率-器具を使ったトレーニング,Sports_Activity_Rate_Training_with_Equipment
スポーツ行動率−ウォーキング,Sports_Activity_rate_walking
旅行・行楽−旅行・行楽・観光総行動率,Travel_Traveling_Tourism_Activity_Rate
旅行・行楽−旅行率,Travel_Rate
旅行・行楽−行楽率,Traveling_rate
