id,var_name_Jpn,var_name_Eng,columm_letter
1,key,key,A
2,pref.id,pref.id,B
3,sex,sex,C
4,pref.E,pref.E,D
5,pref.A,pref.A,E
6,pref.J,pref.J,F
7,人口,pop,G
8,受療率_入院_悪性新生物_2017,Treatment_rate_Hospitalization_Malignant_neoplasm_2017,H
9,受療率_入院_心疾患_2017,Medical_treatment_rate_hospitalization_heart_dz_2017,I
10,受療率_入院_脳血管疾患_2017,Treatment_rate_Hospitalization_Cerebrovascular_dz_2017,J
11,受療率_外来_悪性新生物_2017,Treatment_rate_Outpatient_Malignant_neoplasm_2017,K
12,受療率_外来_心疾患_2017,Treatment_rate_outpatient_heart_dz_2017,L
13,受療率_外来_脳血管疾患_2017,Treatment_rate_Outpatient_Cerebrovascular_dz_2017,M
14,病院数_2019,Num_of_hospitals_2019,N
15,診療所数_2019,Num_of_clinics_2019,O
16,がん治療認定医数_2020,Num_of_certified_cancer_doctors_2020,P
17,循環器専門医数_2020,Num_of_cardiologists_2020,Q
18,内視鏡専門医数_2020,Num_of_endoscopists_2020,R
19,75歳未満調整死亡率_悪性新生物_2018,Mortality_Malignant_Neoplasm_2018_Under_75,S
20,書籍購入代金_2019,Book_purchase_price_2019,T
21,平均寿命_2015,LE_2015,U
22,健康寿命_2016,HLE_2016,V
23,75歳未満調整死亡率_悪政新生物_2019,Under_75_Adjusted_Mortality_Evil_Neoplasms_2019,W
24,年齢調整死亡率_心疾患_2015,mortality_heart_dz_2015,X
25,年齢調整死亡率_脳血管疾患_2015,mortality_cerebrovascular_dz_2015,Y
26,60歳以上人口_2015,pop_over_60_2015,Z
27,学習率_2016,Learn_rate_2016,AA
28,読書率_2016,Read_rate_2016,AB
29,人口・世帯_年少人口割合2020,pop_Young_pop_Ratio_2020,AC
30,人口・世帯_老年人口割合2020,pop_oldElderly_pop_Ratio_2020,AD
31,人口・世帯_生産年齢人口割合2020,pop_Working_Age_pop_Ratio_2020,AE
32,人口・世帯_粗死亡率2020,pop_Rough_Mortality_2020,AF
33,人口・世帯_共働き世帯割合2020,pop_Double_income_household_ratio_2020,AG
34,自然環境_年平均気温,Natural_environment_annual_avg_temperature,AH
35,自然環境_年平均相対湿度,Natural_environment_annual_avg_relative_humidity,AI
36,自然環境_降水量（年間）,Natural_environment_annual_rain,AJ
37,自然環境_雪日数（年間）,Natural_environment_annual_Num_of_snow_days,AK
38,経済基盤_県民所得,Economic_pref_income,AL
39,行政基盤_財政力指数,Admin_base_Financial_strength_index,AM
40,行政基盤_収支比率,Admin_base_balance_ratio,AN
41,行政基盤_生活保護費割合（県財政）,Admin_infrastructure_living_protection_cost_ratio_(prefectural_finance),AO
42,行政基盤_教育費割合（県財政）,Admin_infrastructure_Edu_cost_ratio_(prefectural_finance),AP
43,教育_最終学歴が大学・大学院卒の者の割合,Edu_Ptc_of_university_graduate_students_with_a_final_academic_background,AQ
44,労働_１次産業就業者比率,Labor_primary_industry_emp_ratio,AR
45,労働_２次産業就業者比率,Labor_secondary_industry_emp_ratio,AS
46,労働_３次産業就業者比率,Labor_tertiary_industry_emp_ratio,AT
47,労働_完全失業率,Labor_Unemp_rate,AU
48,文化・スポーツ_図書館数（人口100万人当たり）,Num_of_libraries,AV
49,健康・医療_一般診療所数(可住地面積100k㎡当たり),Num_of_general_clinics,AW
50,文化・スポーツ_スポーツの行動者率,Sports_Participant_Rate,AX
51,文化・スポーツ_旅行・行楽行動者率,Travel_Rate,AY
52,居住_持ち家比率,Residence_owner_ratio,AZ
53,居住_一戸建住宅比率,Residence_house_ratio,BA
54,居住_上水道給水人口比率,Residence_water_supply_pop_ratio,BB
55,居住_下水道普及比率,Residence_sewerage_ratio,BC
56,文化・スポーツ_ボランティア活動行動者率,Volunteer_Activity_Participant_Rate,BD
57,居住_都市公園面積（人口１人当たり）,Residential_city_park_area_(per_pop),BE
58,居住_都市公園数(可住地面積100k㎡当たり),Residence_Num_of_city_parks,BF
59,健康・医療_一般病院数(可住地面積100k㎡当たり),HM_Num_of_general_hospitals,BG
60,居住_主要道路舗装率,Residence_road_pavement_rate,BH
61,居住_市町村舗装率,Residence_simachi_pavement_rate,BI
62,健康・医療_一般歯科診療所数（人口10万人当たり）,HM_Num_of_general_dental_clinics_per_100k_pop,BJ
63,健康・医療_医療施設に従事する医師数（人口10万人当たり）,HM_Num_of_doctors_engaged_in_medical_facilities_per_100k_pop,BK
