LE_2015,Treatment_rate_Hospitalization_Malignant_neoplasm_2017,Treatment_rate_outpatient_heart_dz_2017,Treatment_rate_Outpatient_Cerebrovascular_dz_2017,Num_of_hospitals_2019,pop_oldElderly_pop_Ratio_2020,pop_Working_Age_pop_Ratio_2020,Natural_environment_annual_avg_temperature,Admin_base_balance_ratio,Labor_Unemp_rate,Residence_house_ratio,Residence_Num_of_city_parks,Residence_road_pavement_rate,Household_PC_ownership_quantity,Hypertension_Outpatient_2014,Under_75_Adjusted_Mortality_Evil_Neoplasms_2019,mortality_heart_dz_2015,mortality_cerebrovascular_dz_2015,Read_rate_2016,Malignant_neoplasm_intestine_mortality_rate_2015,Gain_10kg_Wt_compared_to_20yr_binary_2014,Volunteer_Activity_Rate_total,Num_of_clinics_2019,High_barrier_free_handrails_2018,Num_of_cardiologists_2020,Household_Smartphone_ownership_quantity,Volunteer_for_the_Elderly,Malignant_neoplasm_lungs_mortality_2015
86.77,152,134,58,10.5,31.3,57.7,9.5,0.4,4.6,52,34.09,96.1,1233,27.5,62.9,34.5,21,41.9,13.4,102645,23,64.7,548800,640,865,4.1,14.4
85.93,128,95,132,7.5,32.6,56.6,11,0.6,5.3,75.2,26.63,93.9,900,8,71.5,36.6,28.2,32.8,16.1,35745,22.3,70.4,127900,84,848,3.1,12.8
86.44,100,105,153,7.4,32.5,56.2,11,6.1,4,72.9,33.66,91.4,1172,7.2,61,37.9,29.3,38.3,14.6,37074,31,71.6,141300,117,909,6.2,8.8
87.16,75,109,56,6,27.8,60.3,13.6,3.2,4.9,55.3,96.8,99.1,1162,15.8,56.4,30.9,23.7,43.5,10.9,70440,28.9,72.5,228200,210,1048,5.2,10
86.38,136,145,96,7,36.4,53.6,12.3,1.5,4.3,79.8,18.35,97.6,1117,5.8,65.9,29.6,26.9,33.9,13.4,24810,24.2,83,121500,94,921,4.6,10.5
86.96,112,135,92,6.3,32.9,55.5,12.6,1.4,3.6,77.6,29.46,93.2,1350,8.1,48,31.4,27.4,36.4,11.9,30193,29.7,85.3,131500,107,1061,6.7,8.9
86.4,105,175,124,6.8,30.9,57.5,14.2,1.5,4.4,70.1,27.74,97,1118,10.7,55.4,41.1,27.4,37.7,12.2,56850,27.3,72.9,199300,160,992,4.6,12.1
86.33,90,108,92,6,28.9,58.9,15.3,1.1,4.5,72.3,51.77,99,1314,14.1,57.6,37.3,24.9,39.4,14.1,56424,25.9,61.2,271900,228,1166,4.1,10.2
86.24,102,79,87,5.5,28,59.6,15.2,1.5,4.3,71.6,73.86,97.1,1295,10.5,56.2,39.3,28.5,40,12.4,54251,27.3,75.5,180700,193,1041,5,9.7
86.84,96,80,90,6.7,29.4,58.5,16.1,0.9,4.3,73.9,64.36,97.3,1322,10.3,57.7,36.6,23.5,39.8,12.6,49929,29.3,79.9,196400,203,1084,5.7,10.8
86.66,79,77,57,4.7,26.4,61.5,16.4,0.4,4.3,54.8,203.82,99.2,1411,32.7,55,38.9,20.9,45.3,11,183009,26.6,59.6,632600,567,1178,3.9,10.9
86.91,79,78,43,4.6,27.5,60.5,17.2,1.5,4.1,53.1,199.14,99.9,1404,27.8,54.2,41.3,21.7,46.8,11.2,151035,26.2,61,544700,508,1133,4.2,11.5
87.26,79,75,43,4.6,23.1,65.7,16.8,8.4,3.9,26.8,577.38,98.3,1570,49.6,53.5,32.2,19.4,53.1,12.2,377902,24.2,98.5,1096700,2422,1275,4.6,11.9
