HLE_2016,Medical_treatment_rate_hospitalization_heart_dz_2017,Natural_environment_annual_avg_temperature,Admin_base_Financial_strength_index,HM_Num_of_public_health_nurses_per_100k_pop,Household_Savings,pop_Household_Ratio_of_elderly_single_person_households,Treatment_rate_Hospitalization_Cerebrovascular_dz_2017,Residence_sewerage_ratio,Malignant_neoplasm_intestine_mortality_rate_2015,Use_blood_pressure_binary_2014,Smoking_over_100_binary_2014,Self_development_PC_etc,pop_Double_income_household_ratio_2020,Usual_barrier_free_rate_2018,Tourism_Rate,Read_rate_2016,Volunteer_for_Children,Self_development_art_culture,Self_development_languages_other_than_Eng
71.98,97,9.5,0.446,59.3,11918,13.1,168,90.5,22.4,126208,211401,13.6,21.14,42.2,40.9,33.1,4.1,7.2,2.7
71.64,43,11,0.346,54.2,8624,12.09,124,58.8,28.3,43442,58335,10.1,27.58,37.4,30.5,26.3,4.9,5.1,1.4
71.85,49,11,0.362,60,12689,10.91,132,58.9,21.1,41692,61824,11.8,29.84,43.9,37.5,29.2,6.1,7,1.8
72.39,41,13.6,0.628,47.5,12154,9.06,91,80.2,18.3,85985,120755,15.5,24.61,46.5,45.3,35.1,5.4,8.6,3.2
71.21,49,12.3,0.315,59.6,10419,12.34,119,63.5,23.5,34349,45423,11.6,30.18,42.8,41.7,28.8,6.9,6.1,1.6
72.61,51,12.6,0.361,57.2,12640,9.42,108,75.6,18,44773,57742,12.4,35.77,45.9,45.5,27.4,10.2,7.7,1.8
71.54,53,14.2,0.545,56.9,12491,10.63,100,52.7,23.8,66981,89354,12.1,28.62,43.2,45.9,30.1,7.9,7.8,1.5
72.5,37,15.3,0.645,40.1,15211,8.92,92,61.3,25.4,88550,127145,16,28.12,39.2,46.4,32,5.3,8.7,2.7
72.12,44,15.2,0.651,49,15311,9.16,105,65.2,23.8,59738,88141,12.2,29.03,41.1,46.3,30.5,6.1,7.6,3
72.07,45,16.1,0.649,51.2,12811,10.35,99,53.2,22.6,59059,84103,14.9,29.48,42.1,46.6,30.4,6.1,7.9,2.8
73.1,33,16.4,0.766,30.3,16489,9.29,96,80.3,21.7,212596,313419,18.7,25.45,39,52.5,38.1,5.6,10.3,3.3
72.37,36,17.2,0.779,33.3,17479,9.91,86,73.8,20.9,182963,268459,18.3,23.86,38.8,51.9,38,6,11.9,3.7
72,33,16.8,1.162,28.4,19669,11.05,85,99.9,22,403859,611104,19.5,17.76,42.9,54.3,45.9,4.9,14.9,5.7
72.3,34,17.1,0.902,23.5,19035,10.06,88,96.7,21.2,230475,369209,17.7,22.05,41.9,52.4,42.7,5.7,11.6,5.1
