key,pref.id,sex,pref.E,pref.A,pref.J,人口,受療率_入院_悪性新生物_2017,受療率_入院_心疾患_2017,受療率_入院_脳血管疾患_2017,受療率_外来_悪性新生物_2017,受療率_外来_心疾患_2017,受療率_外来_脳血管疾患_2017,病院数_2014,診療所数_2014,がん治療認定医数_2020,循環器専門医数_2020,内視鏡専門医数_2020,75歳未満調整死亡率_悪性新生物_2018,60歳以上人口_2015,学習率2016,読書率_2016,書籍購入代金_2017,平均寿命_2015,健康寿命_2016,75歳未満調整死亡率_悪政新生物_2018,年齢調整死亡率_心疾患_2015,年齢調整死亡率_脳血管疾患_2015,60歳以上人口_2015,学習率_2016,読書率_2016,人口・世帯_年少人口割合2020,人口・世帯_老年人口割合2020,人口・世帯_生産年齢人口割合2020,人口・世帯_粗死亡率2020,人口・世帯_共働き世帯割合2020,自然環境_年平均気温,自然環境_年平均相対湿度,自然環境_降水量（年間）,自然環境_雪日数（年間）,経済基盤_県民所得,行政基盤_財政力指数,行政基盤_収支比率,行政基盤_生活保護費割合（県財政）,行政基盤_教育費割合（県財政）,教育_最終学歴が大学・大学院卒の者の割合,労働_１次産業就業者比率,労働_２次産業就業者比率,労働_３次産業就業者比率,労働_完全失業率,文化・スポーツ_図書館数（人口100万人当たり）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,M,Hokkaido,Hkk,北海道,***,152,97,168,137,134,58,10.5,62.5,770,632,1370,81.6,1971432,31,37.8,46303,80.28,71.98,99.82112151,64.4,34.7,847206,30.3,33.1,10.9,31.3,57.7,11.73,21.14,9.5,69,1282,131,2589,0.446,0.4,1.41,18.8,11.3,7,16.9,70.6,4.6,27.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,M,Aomori,Amr,青森,***,128,43,124,172,95,132,7.3,67.8,128,81,253,91.1,495576,24.8,29.7,40396,78.67,71.64,118.5082516,76.8,52.8,208768,25,26.3,10.8,32.6,56.6,13.75,27.58,11,75,1553,117,2462,0.346,0.6,1.19,21.89,9.1,12,19.8,65.1,5.3,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,M,Iwate,Iwt,岩手,***,100,49,132,183,105,153,7.1,70.2,168,115,247,78,486846,29,33.9,47399,79.86,71.85,96.50451403,80.5,51.8,210555,27.7,29.2,11.3,32.5,56.2,13.73,29.84,11,76,1322,106,2760,0.362,6.1,0.29,14.97,9.7,10.6,25.1,62.9,4,36.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,M,Miyagi,Myg,宮城,***,75,41,91,124,109,56,6.1,69.8,294,209,561,70.6,757257,36.7,39.4,39872,80.99,72.39,85.07676668,65.1,43,337618,35.8,35.1,11.9,27.8,60.3,10.28,24.61,13.6,72,1082,63,2987,0.628,3.2,0.38,14.91,14.3,4.4,22.9,70.5,4.9,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,M,Akita,Akt,秋田,***,136,49,119,175,145,96,6.9,79.3,129,89,224,80,430156,27.4,31.5,38326,79.51,71.21,102.1801304,64.6,52.2,181995,26.6,28.8,10,36.4,53.6,15.49,30.18,12.3,75,2016.5,101,2420,0.315,1.5,0.28,18.31,9,9.6,24,64.7,4.3,45.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,M,Yamagata,Ymgt,山形,***,112,51,108,190,135,92,6,82.4,138,107,241,70.6,433105,30.8,32.1,42589,80.52,72.61,87.01928542,66.6,43.8,189952,30,27.4,11.6,32.9,55.5,13.91,35.77,12.6,75,1124,89,2677,0.361,1.4,0.38,20.61,10.5,9.2,28.4,60.2,3.6,33.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,M,Fukushima,Fks,福島,***,105,53,100,170,175,124,6.6,70.6,172,155,382,75.7,695136,28.9,33.9,46226,80.12,71.54,93.33602241,79.2,43.7,311787,28.9,30.1,11.6,30.9,57.5,13.17,28.62,14.2,70,828,73,2941,0.545,1.5,0.23,15.2,10.1,6.5,29.4,60.2,4.4,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,M,Ibaraki,Ibr,茨城,***,90,37,92,122,108,92,6.2,59,247,217,518,74.4,987509,34.2,35.7,40356,80.28,72.5,91.3103317,66,46,454069,34.6,32,12.1,28.9,58.9,11.15,28.12,15.3,72,1282.5,10,3079,0.645,1.1,0.47,27.18,14.5,5.6,28.5,61.7,4.5,21.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,M,Tochigi,Tch,栃木,***,102,44,105,146,79,87,5.5,71.9,234,189,547,74.3,655946,32.5,35.2,37136,80.1,72.12,88.6056432,78,49.1,298944,32.1,30.5,12.3,28,59.6,11.15,29.03,15.2,71,1257,17,3481,0.651,1.5,0.52,24.21,13.5,5.5,30.7,60.1,4.3,26.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,M,Gunma,Gnm,群馬,***,96,45,99,173,80,90,6.5,78.7,260,193,476,72.2,679678,33.9,35.1,41174,80.61,72.07,89.14526992,71,39.5,307615,32.7,30.4,12.1,29.4,58.5,11.52,29.48,16.1,62,1046.5,16,3145,0.649,0.9,0.44,25.03,13.5,5,30.8,61.2,4.3,28.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,M,Saitama,Stm,埼玉,***,79,33,96,123,77,57,4.7,57.3,655,543,1207,72.2,2258688,39,41.7,42873,80.82,73.1,89.08339622,71.6,36.7,1045519,40.5,38.1,12.2,26.4,61.5,9,25.45,16.4,63,1056,4,2977,0.766,0.4,0.66,27.9,19.4,1.6,23.1,67.9,4.3,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,M,Chiba,Chb,千葉,***,79,36,86,122,78,43,4.6,59.9,684,497,1152,68.6,1991310,41.1,42.4,47552,80.96,72.37,85.03652877,81,35.8,918756,41.7,38,12,27.5,60.5,9.45,23.86,17.2,67,1261,17,2920,0.779,1.5,0.34,25.01,21,2.8,19.4,72.3,4.1,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,M,Tokyo,Tky,東京,***,79,33,85,132,75,43,4.8,95.4,2528,2328,5048,70.3,3730828,46.2,49.6,47349,81.07,72,86.18792017,64.3,35.7,1665409,45.6,45.9,11.2,23.1,65.7,8.49,17.76,16.8,70,1445.5,11,5378,1.162,8.4,0.34,14.86,25.1,0.4,15.3,72.1,3.9,29.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,M,Kanagawa,Kng,神奈川,***,76,34,88,138,95,51,3.8,72.1,1134,877,2135,70.2,2694286,43.9,43.9,49664,81.32,72.3,83.94492875,64.5,36.6,1231602,43.8,42.7,12.1,25.1,62.8,8.77,22.05,17.1,68,1573.5,6,2986,0.902,0.5,0.42,19.47,24.8,0.8,21,72.1,3.9,9.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,M,Niigata,Ngt,新潟,***,109,49,123,132,82,76,5.7,72.9,247,159,417,72,860412,29,33.1,41970,80.69,72.45,88.69361925,60.7,47.7,378745,28.8,29.1,11.6,31.9,56.5,12.93,32.85,14.3,75,1795.5,79,2778,0.461,1,0.14,18.27,10.8,5.8,28.3,63.9,3.7,33.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,M,Toyama,Tym,富山,***,111,73,202,169,121,81,10,71.8,137,125,299,65.3,396621,34.3,37,39719,80.61,72.58,79.97605049,55.8,43.6,172418,32.5,32.2,11.6,32,56.4,12.46,34.39,15,78,2751,64,3373,0.478,0.5,0.07,21.38,15.3,3.3,33.1,62.1,3.1,55.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,M,Ishikawa,Ish,石川,***,123,86,174,137,88,60,8.4,75.6,187,157,429,68.6,392990,34.1,35.4,43459,81.04,72.67,83.12886311,60.1,36,171782,34.1,32.8,12.5,29.2,58.3,11.1,31.63,15.5,69,2765.5,59,2949,0.502,0.3,0.23,20.57,15.2,3,27.4,65.5,3.4,37.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,M,Fukui,Fuk,福井,***,119,73,130,144,96,55,8.9,73.7,125,96,241,66.7,277313,34.3,33.1,39863,81.27,72.45,85.95473946,61.6,34.3,122804,33.3,29.8,12.8,30.2,57,12,36.1,15.3,77,2632,60,3196,0.407,1.5,0.17,21.3,14.6,3.7,30.7,63.8,3.3,47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,M,Yamanashi,Ymn,山梨,***,91,52,128,152,103,58,7.1,81.8,116,82,225,66.3,293638,35.2,34.3,46997,80.85,73.21,82.64579912,54.3,42,131562,34.3,29.8,11.9,30.3,57.8,11.76,30.2,16,60,1153.5,6,2785,0.414,1.8,0.29,19.95,15.6,7.2,27.8,62.9,4.4,65.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,M,Nagano,Ngn,長野,***,95,46,118,172,95,76,6.2,74,298,205,520,62.5,768896,35.1,36.4,46944,81.75,72.11,75.99990309,60.8,41,343557,34.9,31.2,12.4,31.5,56.1,12.36,32.82,13,74,886,73,2927,0.515,1,0.4,25.95,13.9,9.1,28.5,60.1,3.4,54.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,M,Gifu,Gif,岐阜,***,91,50,90,172,164,58,5,77.4,237,249,397,70.1,705690,33.7,32.4,44404,81,72.89,86.2603489,67.6,35.6,316040,32.7,27.4,12.7,29.8,57.5,11.44,32.64,16.9,64,2087,28,2755,0.544,1.2,0.23,24.6,14.7,3.1,32.1,61.8,3.4,37.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,M,Shizuoka,Shz,静岡,***,86,41,117,146,108,39,4.9,72.5,439,317,785,68.6,1277538,33.3,36.5,39482,80.95,72.63,83.80048469,62.7,44.5,575731,31.9,31.7,12.5,29.5,58,11.18,29.99,17.7,67,2442,2,3316,0.728,0.9,0.35,21.05,15.3,3.8,32.2,60.9,4,26.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,M,Aichi,Ach,愛知,***,84,33,84,137,113,47,4.3,70.1,803,798,1401,69.9,2196598,36.3,38.7,41903,81.1,73.06,85.20270212,52.6,34.2,1003934,35.7,35.2,13.3,24.9,61.8,8.93,26.53,16.9,62,1695.5,17,3677,0.926,1.5,0.15,21.26,18.7,2.1,32,61.3,3.4,13.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,
24,24,M,Mie,Mie,三重,***,104,42,96,134,110,37,5.6,83.7,171,191,336,64.1,621995,34.9,33.8,39027,80.86,71.79,82.90603286,62.8,37.1,277137,35.5,29.8,12.4,29.4,58.2,11.41,28.83,16.9,63,1720,20,3556,0.594,0.4,0.43,26.36,14.3,3.6,31,62.1,3.4,25.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　,,,,,
25,25,M,Shiga,Shg,滋賀,***,100,48,93,152,104,65,4.1,73.1,224,174,303,64.6,427438,39.9,37,57745,81.78,72.3,81.6551439,62.9,26.4,194397,40.7,31.8,14,25.7,60.3,9.26,29.66,15.7,75,1863,33,3058,0.564,0.3,0.23,28.62,18,2.6,32.6,61.1,3.5,35.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,M,Kyoto,Kyt,京都,***,103,58,129,138,101,62,6.7,94.2,542,444,799,69,863183,41.1,40.6,45310,81.4,71.85,86.21536436,69.6,33.1,378082,41.2,35.4,11.7,28.9,59.4,10.17,22.56,16.9,65,1770,24,2942,0.588,0.2,0.36,19.31,20.1,2.1,21.6,67.7,4.4,26.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,M,Osaka,Osk,大阪,***,107,56,115,161,105,81,6,94,1606,1268,2288,75.8,2809986,37.7,40.1,39214,80.23,71.5,96.5117379,72.9,33.2,1248094,37.3,37.2,12,27.5,60.6,9.87,19.7,17.4,65,1651.5,12,3127,0.778,0.5,0.24,20.06,17.8,0.5,22.2,68.5,5.3,17.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,M,Hyogo,Hyg,兵庫,***,99,51,106,189,122,75,6.4,89.9,786,775,1513,69.6,1844621,38.9,38,39367,80.92,72.08,86.98802047,59.4,36.9,814335,37.7,34.1,12.5,28.8,58.8,10.28,22.95,17.4,67,2037.5,19,2752,0.641,0.1,0.17,19.48,20.2,2,25,69,4.6,19.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,M,Nara,Nar,奈良,***,98,50,114,144,105,59,5.6,86.3,197,177,460,65.1,483597,38.7,40.4,50888,81.36,71.39,79.08313487,73.5,29,214311,38.4,34.8,12,30.9,57.2,10.75,24.07,16.2,70,1646.5,17,2494,0.426,0.6,1.21,24.42,22.3,2.6,22.6,71.6,4.9,24.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,M,Wakayama,Wky,和歌山,***,113,62,123,189,138,127,8.9,110.2,142,115,384,75.2,365071,33,29.5,41665,79.94,71.36,101.0606849,74.5,32.4,157561,32,25.6,11.7,32.7,55.6,13.52,26.07,17.3,68,1950.5,19,2738,0.33,2,0.74,20.41,13,8.8,21.7,66.7,4.5,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
